CC 1 (24);1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;;Desdob.;1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;
;2;COMPILADORES;COMPILADORES;;;;WAGNER;;;;;;;;;;
;4;ENG DE SOFT I;ENGENHARIA DE SOFTWARE I;;;;GIL;;;;;;;;;;
;6;EST SUP;ESTÁGIO SUPERVISIONADO;;;;RENATO;;;;;;;;;;
;4;FORMAÇÃO;FORMAÇÃO EMPREENDEDORA;;;;SHIRO;;;;;;;;;;
;2;REDES;REDES DE COMPUTADORES (2º SEM.);;;;ANDRÉ;;;;;;;;;;
;2;SIS OPER;SISTEMAS OPERACIONAIS (1º SEM.);;;;SHIRO;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
CC 4 (28);;SEG;TER;QUA;QUI;SEX;SÁB;;Desdob.;;SEG;TER;QUA;QUI;SEX;SÁB;
7:30;8:20;;;;;;;;7:30;8:20;;;;;;;
8:20;9:10;;;TCC;;TCC;;;8:20;9:10;;;;;;;
9:30;10:20;;;TCC;;TCC;;;9:30;10:20;;;;;;;
10:20;11:10;;;;OPTATIVA I;OPTATIVA I;;;10:20;11:10;;;;;;;
11:10;12:00;;;;OPTATIVA I;OPTATIVA I;;;11:10;12:00;;;;;;;
12:00;12:50;;;;;;;;12:00;12:50;;;;;;;
13:30;14:20;SIST INFORM;IA;SIST DISTRIB;IA;COMPUT GRÁF;;;13:30;14:20;;;;;;;
14:20;15:10;SIST INFORM;IA;SIST DISTRIB;IA;COMPUT GRÁF;;;14:20;15:10;;;;;;;
15:30;16:20;ENG DE SOFT II;COMPUT GRÁF;ENG DE SOFT II;SIST INFORM;SIST DISTRIB;;;15:30;16:20;;;;;;;
16:20;17:10;ENG DE SOFT II;COMPUT GRÁF;ENG DE SOFT II;SIST INFORM;SIST DISTRIB;;;16:20;17:10;;;;;;;
17:10;18:00;REDES (09);;;REDES (09);REDES (09);;;17:10;18:00;;;;;;;
18:00;18:50;REDES (09);;;REDES (09);REDES (09);;;18:00;18:50;;;;;;;
18:50;19:40;;;;REDES (09);;;;18:50;19:40;;;;;;;
19:40;20:30;;;;;;;;19:40;20:30;;;;;;;
20:30;21:20;;;;;;;;20:30;21:20;;;;;;;
2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;;2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;
7:30;8:20;;;;;;;;7:30;8:20;;;;;;;
8:20;9:10;;;TCC;;TCC;;;8:20;9:10;;;;;;;
9:30;10:20;;;TCC;;TCC;;;9:30;10:20;;;;;;;
10:20;11:10;;OPTATIVA III;;OPTATIVA III;OPTATIVA II;;;10:20;11:10;;;;;;;
11:10;12:00;;OPTATIVA III;;OPTATIVA III;OPTATIVA II;;;11:10;12:00;;;;;;;
12:00;12:50;;;;;;;;12:00;12:50;;;;;;;
13:30;14:20;;IA;SIST DISTRIB;IA;PROC IMAG;;;13:30;14:20;;;;;;;
14:20;15:10;;IA;SIST DISTRIB;IA;PROC IMAG;;;14:20;15:10;;;;;;;
15:30;16:20;;PROC IMAG;OPTATIVA II;;SIST DISTRIB;;;15:30;16:20;;;;;;;
16:20;17:10;;PROC IMAG;OPTATIVA II;;SIST DISTRIB;;;16:20;17:10;;;;;;;
17:10;18:00;;;;;;;;17:10;18:00;;;;;;;
18:00;18:50;;;;;;;;18:00;18:50;;;;;;;
18:50;19:40;;;;;;;;18:50;19:40;;;;;;;
19:40;20:30;;;;;;;;19:40;20:30;;;;;;;
20:30;21:20;;;;;;;;20:30;21:20;;;;;;;
;;;;;;;;;;;;;;;;;
;CH;Disciplinas;;;;Docentes;;;;;;;;;;;
;2;COMPUT GRÁF;COMPUTAÇÃO GRÁFICA (1º SEM.);;;;FABIANA;;;;;;;;;;
;2;ENG DE SOFT II;ENGENHARIA DE SOFTWARE II (1º SEM.);;;;ELIANE;;;;;;;;;;
;4;IA;INTELIGÊNCIA ARTIFICIAL;;;;HUEI;;;;;;;;;;
;2;OPTATIVA I;XML: FUNDAMENTOS E APLICAÇÕES;;;;RÔMULO;;;;;;;;;;
;2;OPTATIVA I (EE);C - ROBOTICA INDUSTRIAL (1º SEM.);;;;CARLOS H;;;;;;;;;;
;2;OPTATIVA II;GESTÃO DO CONHECIMENTO (2º SEM.);;;;WAGNER;;;;;;;;;;
;2;OPTATIVA III (EM);ENGENHARIA DE MANUTENÇÃO;;;;MOREIRA;;;;;;;;;;
